All event log messages.
Date:	2017-05-19 16:17:47
System Name:	MCube_6.04.Robot2
Controller Name:	192.168.1.2
Controller Id	120-800253

RobotWare: 6.04.00.01
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	608-1 World Zones
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	689-1 Externally Guided Motion (EGM)
	English
	Auto acknowledge input
	623-1 Multitasking

Robot1
Key:	
Options:	
	IRB 120T-3/0.6
	Axis Calibration
	Drive System IRB 120/140/260/360/910SC/1200/1400/1520/1600/1660ID IRC5 Compact



Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
29511     	I   	Operational         	10053   	Regain ready                            	2017-05-16 08:58:05 	The regain movement is ready.	{args: "0"}
29512     	I   	Operational         	10151   	Program started                         	2017-05-16 08:58:05 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
30016     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 08:58:12 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
30017     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 08:58:12 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
30018     	E   	Program             	40228   	Execution error                         	2017-05-16 08:58:12 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
30019     	I   	Operational         	10020   	Execution error state                   	2017-05-16 08:58:12 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
30020     	I   	Operational         	10126   	Program stopped                         	2017-05-16 08:58:12 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
30021     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 08:58:56 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
30022     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 08:58:56 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
30023     	I   	Operational         	10052   	Regain start                            	2017-05-16 08:59:15 	A regain movement has started.	{args: "0"}
30024     	I   	Operational         	10053   	Regain ready                            	2017-05-16 08:59:15 	The regain movement is ready.	{args: "0"}
