Serial_number Axis Date Time Old_Cal_Offset New_Cal_Offset Diff_Cal_Offset
14kL-500575 1 2016-11-17 10:55:04 3.14880 1.60360 -1.54520
14kL-500575 2 2016-11-17 10:55:26 0.59500 4.79190 4.19690
14kL-500575 3 2016-11-17 10:55:51 0.86910 5.11210 4.24300
14kL-500575 4 2016-11-17 10:56:25 5.06750 4.74300 -0.32450
14kL-500575 5 2016-11-17 10:57:18 2.52870 0.11100 -2.41770
14kL-500575 6 2016-11-17 10:57:46 4.79850 5.04010 0.24160
14kL-500575 7 2016-11-17 10:58:12 4.10460 5.78090 1.67630
14kR-500575 1 2016-11-17 11:36:17 0.17340 1.14220 0.96880
14kR-500575 2 2016-11-17 11:36:37 3.63630 2.23070 -1.40560
14kR-500575 3 2016-11-17 11:37:04 5.24930 6.15560 0.90630
14kR-500575 4 2016-11-17 11:37:33 4.65140 6.22550 1.57410
14kR-500575 5 2016-11-17 11:38:19 0.82550 5.89030 5.06480
14kR-500575 6 2016-11-17 11:38:47 1.26610 5.20060 3.93450
14kR-500575 7 2016-11-17 11:39:13 4.04320 5.90140 1.85820
